,cluster_agglomerative
117.247.109.68,3
117.247.225.7,3
117.247.245.112,3
117.248.138.206,3
117.3.100.228,3
117.3.60.17,3
117.35.158.35,3
117.40.143.50,2
117.40.248.2,3
117.44.160.147,3
117.44.161.122,3
117.44.167.12,3
117.48.202.123,2
117.5.135.60,0
118.118.94.71,0
118.123.25.182,0
118.166.155.119,3
118.166.81.244,3
118.167.137.132,3
118.171.100.66,3
118.171.29.233,2
118.173.115.48,3
118.179.216.254,3
118.185.1.218,3
118.213.74.115,0
118.232.230.193,3
118.4.126.196,3
118.69.176.36,3
118.69.180.39,3
118.69.182.232,3
118.70.128.17,3
118.70.171.240,3
118.70.245.179,3
118.71.172.211,3
118.97.221.107,0
118.98.95.174,0
119.148.10.198,3
119.17.212.23,2
119.235.53.133,3
119.249.54.217,0
119.28.19.164,3
119.29.183.29,0
119.29.186.192,0
119.46.141.6,3
119.82.113.90,3
119.9.45.77,0
119.93.140.156,3
12.0.122.18,3
12.109.115.202,3
12.133.121.224,0
12.133.149.254,0
12.168.216.114,0
12.42.163.165,3
12.52.72.162,3
120.150.19.235,0
120.200.212.199,0
120.229.109.70,0
120.229.88.120,0
120.50.0.218,0
120.68.174.85,0
120.79.17.184,0
120.8.106.52,0
120.87.121.41,0
121.122.46.41,2
121.151.53.150,0
121.170.188.73,0
121.205.56.166,0
121.33.250.56,0
121.46.100.56,3
121.58.188.126,3
122.118.122.244,3
122.118.130.9,3
122.121.34.167,3
122.121.48.13,0
122.129.93.14,0
122.154.103.132,2
122.154.103.133,3
122.154.104.17,3
122.154.118.59,3
122.160.85.51,3
122.161.215.199,0
122.163.120.237,3
122.183.201.46,3
122.201.19.99,3
122.222.28.41,0
122.225.78.42,3
122.225.92.74,3
122.226.181.166,0
122.226.183.32,0
122.227.62.106,0
122.242.178.38,0
122.3.185.147,3
123.1.170.6,3
123.103.20.194,0
123.118.175.120,0
123.120.6.29,0
123.139.222.213,0
123.147.190.217,0
123.16.71.64,3
123.160.34.9,3
123.17.83.57,3
123.18.133.253,0
123.180.5.202,0
123.185.51.156,3
123.19.34.112,3
123.194.181.132,3
123.201.150.217,3
123.23.144.152,3
123.231.247.130,3
123.26.190.128,3
123.26.251.41,3
123.27.240.223,2
123.27.253.233,3
123.49.60.110,3
123.55.21.28,0
124.123.57.86,2
124.123.64.126,3
124.123.80.144,3
124.153.81.170,3
124.158.1.11,3
124.248.238.154,3
124.40.234.250,3
124.92.79.136,0
125.134.91.70,0
125.16.149.246,3
125.160.113.60,3
125.161.74.146,3
125.163.77.163,3
125.165.177.165,2
125.165.3.240,2
125.166.11.100,3
125.166.91.198,3
125.17.16.94,3
125.17.91.226,0
125.19.134.94,0
125.209.80.114,3
125.209.85.194,3
125.212.216.218,3
125.212.226.199,3
125.214.203.212,3
125.24.148.163,0
125.26.158.227,2
125.27.75.119,3
125.39.222.252,0
125.60.148.184,2
125.67.5.4,3
125.72.104.54,2
125.85.239.204,0
128.199.159.236,0
128.199.65.54,0
128.201.164.91,3
128.69.192.130,2
128.70.122.176,2
129.196.231.84,0
129.82.138.44,0
13.107.21.200,0
13.107.4.50,0
13.231.60.33,0
13.32.251.68,0
13.33.140.103,8
13.33.154.115,0
13.33.154.119,0
13.33.155.220,0
13.33.160.140,0
13.33.160.46,0
13.33.161.122,0
13.33.163.12,0
13.33.163.193,0
13.33.164.10,0
13.33.164.114,0
13.33.164.148,0
13.33.164.16,0
13.33.164.174,0
13.33.164.18,0
13.33.164.181,0
13.33.164.189,0
13.33.164.2,0
13.33.164.201,0
13.33.164.205,0
13.33.164.207,0
13.33.164.210,0
13.33.164.211,0
13.33.164.233,0
13.33.164.247,0
13.33.164.25,0
13.33.164.254,0
13.33.164.34,0
13.33.164.41,0
13.33.164.45,0
13.33.164.46,0
13.33.164.48,0
13.33.164.49,0
13.33.164.5,0
13.33.164.55,0
13.33.164.62,0
13.33.164.85,0
13.33.164.99,0
13.33.165.125,0
13.33.165.137,0
13.33.165.140,0
13.33.165.166,0
13.33.165.172,0
13.33.165.176,0
13.33.165.182,0
13.33.165.185,0
13.33.165.196,0
13.33.165.202,0
13.33.165.209,0
13.33.165.227,0
13.33.165.234,0
13.33.165.238,0
13.33.165.24,0
13.33.165.245,0
13.33.165.27,0
13.33.165.4,0
13.33.165.55,0
13.33.165.66,0
13.33.165.78,0
13.33.165.97,0
13.33.167.248,0
13.57.148.71,0
13.58.130.167,0
13.58.138.112,0
13.58.146.147,0
13.59.112.230,0
13.68.82.8,0
13.74.252.44,0
13.77.96.81,0
13.89.184.238,0
13.89.184.96,0
13.89.185.175,0
13.89.187.212,0
13.89.188.5,0
13.89.190.129,0
13.89.191.45,0
13.90.45.97,0
13.95.67.33,0
130.211.15.187,0
130.211.18.204,0
130.211.21.54,0
130.211.28.134,0
130.211.38.145,0
131.161.48.150,3
131.202.1.10,0
131.202.1.106,0
131.202.1.32,0
131.202.1.45,0
131.202.1.62,0
131.202.1.93,0
131.202.240.72,0
131.221.97.174,2
131.253.61.96,0
132.148.132.185,0
134.170.165.251,0
134.170.51.190,0
134.170.51.247,0
134.170.58.123,0
134.170.58.189,0
136.147.104.27,0
136.147.104.35,0
137.59.158.227,3
138.108.7.20,0
138.117.162.50,3
138.122.146.116,0
138.16.172.199,0
138.59.120.106,0
138.94.131.54,3
138.99.134.94,3
139.0.6.91,3
139.201.164.247,0
139.205.199.205,0
139.60.160.151,0
14.102.154.33,3
14.109.37.59,0
14.140.250.66,0
14.141.169.114,3
14.141.30.107,2
14.142.57.66,3
14.161.12.22,3
14.161.12.49,3
14.161.32.70,3
14.163.116.253,3
14.163.54.141,3
14.166.66.175,0
14.171.103.177,3
14.171.139.209,3
14.171.204.7,3
14.176.9.244,3
14.181.131.221,3
14.181.169.114,3
14.182.132.44,3
14.182.86.191,3
14.186.18.145,3
14.190.145.211,3
14.190.36.95,2
14.207.43.233,3
14.229.9.164,3
14.230.91.120,2
14.231.170.205,3
14.231.94.43,3
14.232.214.184,0
14.233.10.156,3
14.233.191.65,2
14.236.197.162,3
14.240.35.107,3
14.241.39.104,3
14.244.114.224,3
141.136.195.122,3
141.212.122.208,3
141.212.122.211,0
141.212.122.212,0
141.212.122.214,0
141.212.122.215,0
141.212.122.229,0
141.212.122.230,0
141.212.122.231,0
141.212.122.232,0
141.212.122.233,0
141.212.122.83,0
141.212.122.84,0
141.8.144.30,0
142.0.160.13,0
142.0.160.53,0
142.134.132.100,3
142.54.66.30,0
143.255.25.50,3
144.217.54.248,0
144.250.128.27,0
145.255.2.195,3
145.255.9.50,0
146.0.77.21,0
147.75.119.162,3
147.91.72.152,0
149.174.28.196,0
149.255.35.24,3
149.255.35.79,3
15.72.178.27,0
15.72.238.29,0
15.72.238.30,0
15.73.200.22,0
15.73.200.27,0
15.73.4.78,0
15.73.4.80,0
150.101.201.147,0
150.116.18.92,3
151.101.0.217,0
151.101.1.167,0
151.101.1.69,0
151.101.128.217,0
151.101.129.167,0
151.101.192.217,0
151.101.200.133,0
151.101.200.134,0
151.101.200.143,0
151.101.200.166,0
151.101.200.175,0
151.101.200.176,0
151.101.200.84,0
151.101.201.108,0
151.101.201.181,0
151.101.201.194,0
151.101.201.198,0
151.101.202.109,8
151.101.202.110,0
151.101.202.162,0
151.101.202.2,0
151.101.202.202,0
151.101.202.217,0
151.101.202.49,0
151.101.32.134,0
151.101.32.143,0
151.101.32.166,8
151.101.32.175,0
151.101.32.176,0
151.101.32.207,0
151.101.32.84,0
151.101.33.108,0
151.101.33.124,0
151.101.33.181,0
151.101.33.194,0
151.101.33.198,0
151.101.34.109,8
151.101.34.110,0
151.101.34.2,8
151.101.34.202,0
151.101.34.217,0
151.101.34.49,0
151.101.34.51,0
151.101.64.217,0
151.101.65.167,0
151.101.66.167,0
151.139.236.194,0
151.139.236.196,0
151.139.237.113,0
151.201.139.194,0
152.101.118.11,5
152.163.64.2,0
152.195.13.100,0
152.195.32.112,0
152.195.33.98,0
152.231.24.75,3
152.250.217.95,3
152.250.254.80,0
154.120.226.170,3
154.126.251.123,3
154.66.47.250,3
155.133.41.130,2
156.154.200.32,0
156.154.200.36,0
156.220.185.252,3
157.185.171.102,0
157.37.120.129,3
157.37.21.249,3
157.41.201.98,0
157.48.6.106,3
157.56.198.220,0
157.56.96.123,0
157.97.40.33,0
158.140.166.46,3
158.140.170.34,3
158.140.180.60,3
158.140.182.20,3
159.127.42.169,0
159.192.122.221,0
159.224.229.15,2
159.224.88.139,0
159.26.124.165,0
159.26.124.177,0
159.26.226.160,0
159.26.226.165,0
159.89.134.235,5
159.89.196.64,0
160.124.251.109,3
160.13.223.77,3
161.170.232.53,0
161.18.239.98,3
162.243.22.133,0
162.247.242.18,0
162.247.242.19,0
162.247.242.20,0
162.247.242.21,0
162.248.247.151,2
162.251.164.114,0
163.172.74.24,5
164.52.24.142,3
165.138.79.34,3
165.225.76.124,3
165.234.102.137,3
167.160.123.21,3
167.249.40.138,3
167.250.206.162,3
167.61.152.115,3
168.10.192.3,3
168.121.71.66,2
168.187.145.225,0
168.62.74.171,3
168.83.95.54,3
169.254.169.254,6
169.60.163.149,0
169.60.66.39,0
170.246.192.191,3
170.80.97.6,3
171.101.73.52,3
171.217.17.102,0
171.224.0.253,3
171.234.208.10,3
171.240.89.59,3
171.251.125.187,3
171.4.116.70,3
171.4.249.120,3
171.42.152.117,0
171.5.148.230,3
172.217.12.226,0
172.217.12.238,0
172.217.13.238,0
172.217.13.66,0
172.217.15.100,0
172.217.15.110,0
172.217.15.65,0
172.217.15.68,0
172.217.15.72,0
172.217.15.78,0
172.217.15.98,0
172.217.17.131,0
172.217.17.99,0
172.217.19.195,0
172.217.20.67,0
172.217.3.227,0
172.217.3.34,0
172.217.3.46,0
172.217.5.226,0
172.217.5.232,0
172.217.7.130,0
172.217.7.138,0
172.217.7.162,0
172.217.7.168,0
172.217.7.174,0
172.217.7.194,0
172.217.7.200,0
172.217.7.226,0
172.217.8.1,0
172.217.8.10,0
172.217.8.13,0
172.217.8.14,8
172.217.8.18,0
172.217.8.2,0
172.217.8.3,0
172.217.8.6,0
172.217.8.8,0
172.82.206.17,0
172.82.206.19,0
172.82.206.20,0
172.82.206.21,0
173.192.200.113,0
173.193.244.52,0
173.194.175.157,0
173.194.202.103,0
173.194.202.104,0
173.194.202.105,0
173.194.202.106,0
173.194.202.147,0
173.194.202.99,0
173.194.203.103,0
173.194.203.104,0
173.194.203.105,0
173.194.203.106,0
173.194.203.147,0
173.194.203.94,0
173.194.203.99,0
173.194.68.155,0
173.203.173.106,0
173.205.6.204,0
173.208.143.212,3
173.209.34.163,0
173.220.209.178,0
173.221.133.163,0
173.226.147.230,3
173.246.5.32,0
173.48.48.59,0
173.70.186.202,0
173.82.211.34,0
173.95.5.118,2
174.129.233.211,0
174.129.250.14,0
175.100.106.66,3
175.101.251.112,3
175.195.219.31,5
175.211.203.12,0
175.224.86.183,0
176.100.114.103,2
176.103.90.202,2
176.120.111.176,3
176.120.37.151,3
176.14.214.89,3
176.213.37.52,0
176.222.137.111,2
176.240.68.128,3
176.31.133.163,0
176.32.9.192,2
176.34.191.190,0
176.43.184.60,2
176.43.253.46,3
176.59.211.9,0
176.8.126.211,2
176.97.33.2,3
177.102.44.226,0
177.106.29.205,3
177.11.183.14,3
177.126.167.154,2
177.126.184.230,3
177.135.250.223,3
177.135.69.44,0
177.139.133.142,3
177.148.179.42,3
177.152.138.178,3
177.191.249.66,0
177.39.218.199,2
177.40.111.203,3
177.53.204.3,0
177.74.30.1,3
177.84.88.50,2
177.96.252.79,3
178.129.65.139,0
178.136.2.253,0
178.137.199.32,0
178.158.184.27,3
178.165.111.82,3
178.184.58.122,3
178.204.240.50,3
178.206.212.92,3
178.207.90.150,3
178.219.88.9,2
178.251.212.114,3
178.255.168.157,3
178.255.83.1,8
178.35.10.170,0
178.35.13.25,3
178.44.141.181,3
178.44.250.163,2
178.47.131.3,3
178.49.152.78,3
178.54.209.22,3
179.104.37.64,0
179.110.49.209,0
179.111.204.180,3
179.126.32.186,3
179.126.7.109,3
179.176.111.232,3
179.179.129.197,0
179.180.59.173,0
179.184.139.13,2
179.189.238.118,3
179.49.13.90,3
179.52.56.136,3
18.217.53.222,0
18.218.100.248,0
18.218.22.199,0
18.218.243.144,0
18.218.86.246,0
18.219.69.154,0
18.221.16.50,0
18.221.165.54,0
18.221.219.4,1
180.141.237.146,3
180.148.48.128,0
180.151.1.248,3
180.151.10.226,3
180.151.226.206,2
180.151.51.158,3
180.177.145.45,3
180.179.21.221,5
180.183.128.110,3
180.183.44.146,3
180.210.189.107,3
180.234.92.80,3
180.241.136.52,3
180.241.74.71,3
180.241.75.205,0
180.243.219.125,3
180.245.98.103,3
180.246.242.222,0
180.246.62.36,3
180.247.212.5,2
180.248.38.193,2
180.249.252.193,3
180.250.206.115,3
180.250.49.90,3
180.250.56.106,0
180.250.67.242,3
180.253.229.76,3
180.253.253.123,3
180.253.73.176,3
180.254.157.75,0
180.254.65.172,3
180.254.97.244,3
180.92.171.4,3
180.97.220.19,0
180.97.220.32,0
181.115.183.122,0
181.129.160.202,3
181.143.11.98,2
181.143.221.133,3
181.196.172.34,0
181.196.18.241,3
181.211.10.28,2
181.214.87.12,0
181.214.87.14,0
181.40.91.118,3
181.49.111.130,0
182.100.219.165,3
182.105.247.9,3
182.126.227.48,0
182.156.218.102,3
182.160.97.196,3
182.176.118.54,3
182.176.19.4,3
182.23.9.62,3
182.253.101.18,3
182.253.163.23,2
182.253.195.218,3
182.255.1.11,3
182.52.135.80,0
182.71.143.158,3
182.72.105.166,0
182.72.204.139,3
182.73.154.252,0
182.75.10.174,3
182.98.254.253,3
183.134.62.162,0
183.141.121.76,3
183.171.227.34,3
183.182.107.99,0
183.21.241.163,0
183.215.48.136,0
183.220.102.254,0
183.3.219.170,3
183.48.20.86,0
183.63.156.170,0
183.82.101.20,2
183.82.123.104,2
183.82.165.148,3
183.82.191.9,3
183.82.231.146,3
183.82.35.54,3
183.83.219.40,3
183.83.224.201,2
183.83.225.95,3
183.83.226.30,3
183.83.247.195,0
183.83.248.123,0
183.83.64.252,2
183.83.70.181,2
183.83.86.69,3
183.83.88.85,3
183.88.158.125,3
183.88.191.173,3
183.88.22.137,3
183.88.244.101,0
183.89.187.248,3
183.91.7.199,3
184.106.10.72,0
184.169.141.35,0
184.169.170.204,0
184.22.108.157,2
184.22.177.114,3
184.22.230.116,3
184.24.98.150,0
184.68.209.242,0
184.72.236.39,0
184.72.249.148,0
184.72.95.242,0
184.73.160.100,0
184.73.160.250,0
184.73.178.52,0
184.73.187.63,0
184.73.239.236,0
184.73.247.90,0
185.107.83.53,0
185.115.192.41,0
185.117.149.48,0
185.120.190.39,0
185.143.223.176,3
185.143.223.183,0
185.167.164.37,0
185.167.164.39,0
185.167.164.42,0
185.167.164.43,0
185.17.127.131,3
185.19.101.244,3
185.195.27.242,3
185.214.254.198,2
185.222.210.30,0
185.222.211.14,0
185.222.211.42,0
185.222.56.11,0
185.222.56.82,0
185.222.56.84,0
185.224.249.111,3
185.234.216.123,0
185.234.216.124,0
185.235.85.141,0
185.235.85.55,0
185.41.21.214,3
185.56.81.51,3
185.59.58.78,3
185.63.216.127,0
185.64.47.110,3
185.65.134.175,0
185.77.41.153,3
185.81.157.119,0
185.92.72.12,0
185.93.245.131,3
185.94.111.1,0
186.1.162.202,3
186.116.178.202,3
186.117.159.18,3
186.121.250.43,3
186.16.29.164,3
186.185.218.101,3
186.202.182.160,3
186.208.76.139,3
186.225.117.236,3
186.26.113.200,0
186.6.105.224,0
186.88.126.170,3
186.88.162.147,3
186.88.88.194,3
186.89.69.5,3
186.90.107.155,0
186.90.107.62,3
186.90.185.214,0
186.90.52.111,3
186.91.159.28,3
186.91.218.50,3
186.92.111.24,3
186.92.154.135,0
186.92.44.90,3
186.92.54.77,3
186.93.140.48,3
186.93.237.3,0
186.93.54.23,2
186.94.131.95,2
186.94.179.45,3
186.95.180.1,3
186.95.180.191,2
186.95.204.241,2
187.114.175.61,3
187.137.122.152,0
187.155.178.109,3
187.155.210.145,3
187.157.157.210,3
187.167.76.46,0
187.174.118.2,0
187.188.115.61,2
187.189.233.83,3
187.190.38.141,3
187.195.51.207,3
187.205.151.82,3
187.205.233.149,3
187.207.117.233,3
187.253.200.5,3
187.33.237.86,2
187.35.188.79,0
187.46.86.52,0
187.52.54.43,3
187.63.11.144,3
187.72.92.81,3
187.75.200.145,3
187.75.232.112,3
187.95.99.203,2
188.118.96.248,3
188.129.152.171,3
188.162.39.90,0
188.163.105.29,3
188.163.110.50,3
188.163.26.61,0
188.166.143.210,0
188.166.251.49,3
188.168.8.238,0
188.169.69.250,3
188.18.235.83,3
188.19.116.218,3
188.19.55.245,0
188.19.60.161,0
188.191.236.206,0
188.213.169.112,0
188.213.19.36,3
188.213.238.139,3
188.53.14.241,3
188.94.32.19,0
189.135.162.119,3
189.150.199.62,3
189.157.21.143,3
189.17.33.195,3
189.175.28.160,3
189.20.97.114,3
189.202.245.146,3
189.206.101.130,3
189.206.53.98,3
189.207.48.253,0
189.211.53.244,3
189.240.35.35,3
189.240.38.36,3
189.25.4.49,0
189.42.6.166,3
189.44.59.242,3
189.79.43.116,3
190.1.201.230,3
190.102.192.4,2
190.102.193.4,3
190.102.60.114,0
190.103.29.34,2
190.111.255.176,3
190.113.89.30,3
190.120.68.130,3
190.121.132.154,0
190.121.159.154,3
190.141.241.146,3
190.143.140.148,0
190.144.130.2,3
190.144.14.30,3
190.145.110.36,3
190.145.33.87,2
190.151.27.99,3
190.180.32.2,3
190.186.113.32,0
190.196.59.35,2
190.198.158.179,3
190.198.188.50,3
190.198.25.157,3
190.198.68.66,3
190.198.84.121,0
190.199.211.142,3
190.200.135.58,0
190.200.149.208,3
190.200.153.178,3
190.200.169.90,3
190.200.176.79,0
190.201.102.223,3
190.201.104.211,3
190.201.112.107,3
190.201.17.9,3
190.201.170.19,3
190.201.31.70,3
190.202.173.193,3
190.202.18.190,3
190.202.250.19,3
190.202.251.226,3
190.202.61.130,3
190.202.93.234,3
190.203.33.143,0
190.203.38.11,3
190.203.42.43,3
190.204.157.220,3
190.204.159.28,3
190.204.234.196,3
190.205.179.30,3
190.205.187.26,3
190.206.118.36,3
190.207.164.207,3
190.207.199.28,2
190.207.252.93,3
190.207.34.105,0
190.210.221.169,0
190.210.236.69,3
190.211.14.219,3
190.215.48.154,3
190.216.204.14,2
190.217.98.179,0
190.220.7.78,3
190.24.156.68,3
190.242.38.11,0
190.248.156.82,3
190.248.86.234,2
190.3.118.166,3
190.3.71.234,3
190.32.39.226,2
190.36.82.212,3
190.37.124.254,0
190.37.147.228,3
190.37.90.103,3
190.38.37.119,3
190.39.124.178,3
190.39.124.74,3
190.39.132.115,3
190.39.146.166,3
190.39.26.187,3
190.39.67.29,2
190.39.85.175,3
190.58.151.144,3
190.60.247.18,3
190.72.10.220,3
190.72.104.204,2
190.72.160.237,3
190.72.242.246,3
190.72.59.22,3
190.72.63.178,0
190.72.63.209,3
190.72.91.235,2
190.73.150.235,3
190.74.188.150,2
190.74.254.179,2
190.75.194.131,3
190.75.99.158,0
190.77.227.73,0
190.77.40.8,3
190.77.42.90,3
190.77.61.132,3
190.78.116.185,3
190.78.14.90,3
190.78.149.18,3
190.78.179.1,3
190.78.197.4,3
190.78.3.90,2
190.79.136.154,3
190.79.137.33,3
190.79.24.50,3
190.79.248.187,3
190.79.72.112,3
190.79.97.238,3
190.80.80.47,0
190.85.135.219,3
190.94.148.46,0
190.97.255.194,3
191.101.167.235,0
191.205.240.152,3
191.232.80.58,0
191.234.72.183,0
191.234.72.186,0
191.234.72.188,0
191.234.72.190,0
